Model,Model_Name,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),Best_Model_Type
lr,Logistic Regression,0.8814,0.9505,0.8814,0.8825,0.8812,0.76,0.7613,0.799,LogisticRegression
ada,Ada Boost Classifier,0.8714,0.9367,0.8714,0.8729,0.8712,0.7397,0.7414,0.04,LogisticRegression
ridge,Ridge Classifier,0.87,0.943,0.87,0.8721,0.8692,0.7356,0.7385,0.016,LogisticRegression
gbc,Gradient Boosting Classifier,0.8686,0.9383,0.8686,0.8694,0.8678,0.7325,0.7342,0.061,LogisticRegression
lda,Linear Discriminant Analysis,0.8686,0.9432,0.8686,0.8709,0.8677,0.7326,0.7358,0.014,LogisticRegression
lightgbm,Light Gradient Boosting Machine,0.8686,0.9321,0.8686,0.8691,0.8683,0.7336,0.7345,0.22,LogisticRegression
nb,Naive Bayes,0.8529,0.9232,0.8529,0.8548,0.8518,0.7002,0.7034,0.014,LogisticRegression
rf,Random Forest Classifier,0.85,0.9254,0.85,0.8506,0.8494,0.6953,0.6966,0.072,LogisticRegression
qda,Quadratic Discriminant Analysis,0.85,0.9182,0.85,0.8521,0.8496,0.6963,0.6987,0.016,LogisticRegression
et,Extra Trees Classifier,0.8457,0.9239,0.8457,0.846,0.8453,0.6871,0.6879,0.065,LogisticRegression
svm,SVM - Linear Kernel,0.7929,0.9148,0.7929,0.8309,0.7806,0.584,0.6156,0.015,LogisticRegression
dt,Decision Tree Classifier,0.7886,0.7888,0.7886,0.7916,0.7887,0.5747,0.5767,0.015,LogisticRegression
knn,K Neighbors Classifier,0.6957,0.758,0.6957,0.6999,0.6955,0.388,0.3908,0.504,LogisticRegression
